baker,last_name,baker_age,baker_occupation,hometown,series,episode,signature_bake,show_stopper,technical,result
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,4,NA,NA,NA,NA
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,5,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,3,IN
Kate,Lyon,29,Health and safety inspector,Merseyside,8,5,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,8,IN
Liam,Charles,19,Student,North London,8,5,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,2,IN
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,5,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,4,IN
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,5,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,5,IN
Yan,Tsou,46,Laboratory research scientist,North London,8,5,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,6,IN
James,Hillery,46,Banker,"Brentwood, Essex",8,5,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,7,OUT
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,5,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",1,STAR BAKER
Chris,Geiger,50,Software developer,Bristol,8,5,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,5,NA,NA,NA,NA
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,5,NA,NA,NA,NA
Tom,Hetherington,29,Architect,Edinburgh,8,5,NA,NA,NA,NA
Kate,Lyon,29,Health and safety inspector,Merseyside,8,6,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,5,IN
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,6,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,2,IN
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,6,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,6,IN
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,6,'Fleetwood Mac' Decorative Pies,Christmas Pie,3,IN
Yan,Tsou,46,Laboratory research scientist,North London,8,6,'πr2' Decorative Pies,Chequerboard Pie,1,IN
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,6,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,7,OUT
Liam,Charles,19,Student,North London,8,6,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,4,STAR BAKER
Chris,Geiger,50,Software developer,Bristol,8,6,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,6,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,6,NA,NA,NA,NA
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,6,NA,NA,NA,NA
Tom,Hetherington,29,Architect,Edinburgh,8,6,NA,NA,NA,NA
Kate,Lyon,29,Health and safety inspector,Merseyside,8,7,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,6,IN
Liam,Charles,19,Student,North London,8,7,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,2,IN
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,7,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,3,IN
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,7,My All Time Favourite Desserts,Pastry Surprise,4,IN
Yan,Tsou,46,Laboratory research scientist,North London,8,7,Cannoli Cocktails,Canadian-Style Sfogliatelle,5,OUT
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,7,Italian Style Cannoli,'Sicilian-style' Sfogliatelle,1,STAR BAKER
Chris,Geiger,50,Software developer,Bristol,8,7,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,7,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,7,NA,NA,NA,NA
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,7,NA,NA,NA,NA
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,7,NA,NA,NA,NA
Tom,Hetherington,29,Architect,Edinburgh,8,7,NA,NA,NA,NA
Kate,Lyon,29,Health and safety inspector,Merseyside,8,8,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,2,IN
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,8,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,4,IN
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,8,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,1,IN
Liam,Charles,19,Student,North London,8,8,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,5,OUT
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,8,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,3,STAR BAKER
Chris,Geiger,50,Software developer,Bristol,8,8,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,8,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,8,NA,NA,NA,NA
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,8,NA,NA,NA,NA
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,8,NA,NA,NA,NA
Tom,Hetherington,29,Architect,Edinburgh,8,8,NA,NA,NA,NA
Yan,Tsou,46,Laboratory research scientist,North London,8,8,NA,NA,NA,NA
Kate,Lyon,29,Health and safety inspector,Merseyside,8,9,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,4,IN
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,9,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,3,IN
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,9,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,2,OUT
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,9,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,1,STAR BAKER
Chris,Geiger,50,Software developer,Bristol,8,9,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,9,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,9,NA,NA,NA,NA
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,9,NA,NA,NA,NA
Liam,Charles,19,Student,North London,8,9,NA,NA,NA,NA
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,9,NA,NA,NA,NA
Tom,Hetherington,29,Architect,Edinburgh,8,9,NA,NA,NA,NA
Yan,Tsou,46,Laboratory research scientist,North London,8,9,NA,NA,NA,NA
Kate,Lyon,29,Health and safety inspector,Merseyside,8,10,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",3,Runner-up
Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",8,10,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,1,Runner-up
Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",8,10,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,2,WINNER
Chris,Geiger,50,Software developer,Bristol,8,10,NA,NA,NA,NA
Flo,Atkins,71,Retired,Merseyside,8,10,NA,NA,NA,NA
James,Hillery,46,Banker,"Brentwood, Essex",8,10,NA,NA,NA,NA
Julia,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",8,10,NA,NA,NA,NA
Liam,Charles,19,Student,North London,8,10,NA,NA,NA,NA
Peter,Abatan,52,IT programme manager,"Southend, Essex",8,10,NA,NA,NA,NA
Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",8,10,NA,NA,NA,NA
Tom,Hetherington,29,Architect,Edinburgh,8,10,NA,NA,NA,NA
Yan,Tsou,46,Laboratory research scientist,North London,8,10,NA,NA,NA,NA
Antony,Amourdoux,30,Banker,London,9,1,NA,NA,12,IN
Briony,Williams,33,Full-time parent,Bristol,9,1,NA,NA,2,IN
Dan,Beasley-Harling,36,Full-time parent,London,9,1,NA,NA,4,IN
Jon,Jenkins,47,Blood courier,Newport,9,1,NA,NA,5,IN
Karen,Wright,60,In-store sampling assistant,Wakefield,9,1,NA,NA,6,IN
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,1,NA,NA,10,IN
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,1,NA,NA,8,IN
Rahul,Mandal,30,Research scientist,Rotherham,9,1,NA,NA,7,IN
Ruby,Bhogal,29,Project manager,London,9,1,NA,NA,1,IN
Terry,Hartill,56,Retired air steward,West Midlands,9,1,NA,NA,9,IN
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,1,NA,NA,11,OUT
Manon,Lagrave,26,Software project manager,London,9,1,NA,NA,3,STAR BAKER
Antony,Amourdoux,30,Banker,London,9,2,NA,NA,9,IN
Briony,Williams,33,Full-time parent,Bristol,9,2,NA,NA,5,IN
Dan,Beasley-Harling,36,Full-time parent,London,9,2,NA,NA,3,IN
Jon,Jenkins,47,Blood courier,Newport,9,2,NA,NA,1,IN
Karen,Wright,60,In-store sampling assistant,Wakefield,9,2,NA,NA,11,IN
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,2,NA,NA,4,IN
Manon,Lagrave,26,Software project manager,London,9,2,NA,NA,6,IN
Ruby,Bhogal,29,Project manager,London,9,2,NA,NA,10,IN
Terry,Hartill,56,Retired air steward,West Midlands,9,2,NA,NA,8,IN
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,2,NA,NA,7,OUT
Rahul,Mandal,30,Research scientist,Rotherham,9,2,NA,NA,2,STAR BAKER
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,2,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,3,NA,NA,9,IN
Dan,Beasley-Harling,36,Full-time parent,London,9,3,NA,NA,6,IN
Jon,Jenkins,47,Blood courier,Newport,9,3,NA,NA,2,IN
Karen,Wright,60,In-store sampling assistant,Wakefield,9,3,NA,NA,5,IN
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,3,NA,NA,10,IN
Manon,Lagrave,26,Software project manager,London,9,3,NA,NA,3,IN
Ruby,Bhogal,29,Project manager,London,9,3,NA,NA,7,IN
Terry,Hartill,56,Retired air steward,West Midlands,9,3,NA,NA,1,IN
Antony,Amourdoux,30,Banker,London,9,3,NA,NA,8,OUT
Rahul,Mandal,30,Research scientist,Rotherham,9,3,NA,NA,4,STAR BAKER
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,3,NA,NA,NA,NA
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,3,NA,NA,NA,NA
Terry,Hartill,56,Retired air steward,West Midlands,9,4,NA,NA,NA,[a]
Briony,Williams,33,Full-time parent,Bristol,9,4,NA,NA,5,IN
Jon,Jenkins,47,Blood courier,Newport,9,4,NA,NA,3,IN
Karen,Wright,60,In-store sampling assistant,Wakefield,9,4,NA,NA,7,IN
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,4,NA,NA,6,IN
Manon,Lagrave,26,Software project manager,London,9,4,NA,NA,8,IN
Rahul,Mandal,30,Research scientist,Rotherham,9,4,NA,NA,4,IN
Ruby,Bhogal,29,Project manager,London,9,4,NA,NA,2,IN
Dan,Beasley-Harling,36,Full-time parent,London,9,4,NA,NA,1,STAR BAKER
Antony,Amourdoux,30,Banker,London,9,4,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,4,NA,NA,NA,NA
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,4,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,5,NA,NA,6,IN
Dan,Beasley-Harling,36,Full-time parent,London,9,5,NA,NA,2,IN
Jon,Jenkins,47,Blood courier,Newport,9,5,NA,NA,7,IN
Manon,Lagrave,26,Software project manager,London,9,5,NA,NA,5,IN
Rahul,Mandal,30,Research scientist,Rotherham,9,5,NA,NA,3,IN
Ruby,Bhogal,29,Project manager,London,9,5,NA,NA,1,IN
Karen,Wright,60,In-store sampling assistant,Wakefield,9,5,NA,NA,9,OUT
Terry,Hartill,56,Retired air steward,West Midlands,9,5,NA,NA,8,OUT
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,5,NA,NA,4,STAR BAKER
Antony,Amourdoux,30,Banker,London,9,5,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,5,NA,NA,NA,NA
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,5,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,6,NA,NA,2,IN
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,6,NA,NA,5,IN
Manon,Lagrave,26,Software project manager,London,9,6,NA,NA,4,IN
Rahul,Mandal,30,Research scientist,Rotherham,9,6,NA,NA,3,IN
Ruby,Bhogal,29,Project manager,London,9,6,NA,NA,7,IN
Dan,Beasley-Harling,36,Full-time parent,London,9,6,NA,NA,6,OUT
Briony,Williams,33,Full-time parent,Bristol,9,6,NA,NA,1,STAR BAKER
Antony,Amourdoux,30,Banker,London,9,6,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,6,NA,NA,NA,NA
Karen,Wright,60,In-store sampling assistant,Wakefield,9,6,NA,NA,NA,NA
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,6,NA,NA,NA,NA
Terry,Hartill,56,Retired air steward,West Midlands,9,6,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,7,NA,NA,5,IN
Manon,Lagrave,26,Software project manager,London,9,7,NA,NA,2,IN
Rahul,Mandal,30,Research scientist,Rotherham,9,7,NA,NA,1,IN
Ruby,Bhogal,29,Project manager,London,9,7,NA,NA,3,IN
Jon,Jenkins,47,Blood courier,Newport,9,7,NA,NA,4,OUT
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,7,NA,NA,6,STAR BAKER
Antony,Amourdoux,30,Banker,London,9,7,NA,NA,NA,NA
Dan,Beasley-Harling,36,Full-time parent,London,9,7,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,7,NA,NA,NA,NA
Karen,Wright,60,In-store sampling assistant,Wakefield,9,7,NA,NA,NA,NA
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,7,NA,NA,NA,NA
Terry,Hartill,56,Retired air steward,West Midlands,9,7,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,8,NA,NA,1,IN
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,8,NA,NA,2,IN
Rahul,Mandal,30,Research scientist,Rotherham,9,8,NA,NA,5,IN
Manon,Lagrave,26,Software project manager,London,9,8,NA,NA,4,OUT
Ruby,Bhogal,29,Project manager,London,9,8,NA,NA,3,STAR BAKER
Antony,Amourdoux,30,Banker,London,9,8,NA,NA,NA,NA
Dan,Beasley-Harling,36,Full-time parent,London,9,8,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,8,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,8,NA,NA,NA,NA
Karen,Wright,60,In-store sampling assistant,Wakefield,9,8,NA,NA,NA,NA
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,8,NA,NA,NA,NA
Terry,Hartill,56,Retired air steward,West Midlands,9,8,NA,NA,NA,NA
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,9,NA,NA,2,IN
Rahul,Mandal,30,Research scientist,Rotherham,9,9,NA,NA,4,IN
Briony,Williams,33,Full-time parent,Bristol,9,9,NA,NA,3,OUT
Ruby,Bhogal,29,Project manager,London,9,9,NA,NA,1,STAR BAKER
Antony,Amourdoux,30,Banker,London,9,9,NA,NA,NA,NA
Dan,Beasley-Harling,36,Full-time parent,London,9,9,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,9,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,9,NA,NA,NA,NA
Karen,Wright,60,In-store sampling assistant,Wakefield,9,9,NA,NA,NA,NA
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,9,NA,NA,NA,NA
Manon,Lagrave,26,Software project manager,London,9,9,NA,NA,NA,NA
Terry,Hartill,56,Retired air steward,West Midlands,9,9,NA,NA,NA,NA
Kim-Joy,Hewlett,27,Mental health specialist,Leeds,9,10,NA,NA,1,Runner-up
Ruby,Bhogal,29,Project manager,London,9,10,NA,NA,3,Runner-up
Rahul,Mandal,30,Research scientist,Rotherham,9,10,NA,NA,2,WINNER
Antony,Amourdoux,30,Banker,London,9,10,NA,NA,NA,NA
Briony,Williams,33,Full-time parent,Bristol,9,10,NA,NA,NA,NA
Dan,Beasley-Harling,36,Full-time parent,London,9,10,NA,NA,NA,NA
Imelda,McCarron,33,Countryside recreation officer,County Tyrone,9,10,NA,NA,NA,NA
Jon,Jenkins,47,Blood courier,Newport,9,10,NA,NA,NA,NA
Karen,Wright,60,In-store sampling assistant,Wakefield,9,10,NA,NA,NA,NA
Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,9,10,NA,NA,NA,NA
Manon,Lagrave,26,Software project manager,London,9,10,NA,NA,NA,NA
Terry,Hartill,56,Retired air steward,West Midlands,9,10,NA,NA,NA,NA
Alice,Fevronia,28,Geography teacher,Essex,10,1,NA,NA,5,IN
Amelia,LeBruin,24,Fashion designer,Halifax,10,1,NA,NA,4,IN
David,Atherton,36,International health adviser,Whitby,10,1,NA,NA,10,IN
Helena,Garcia,40,Online project manager,Leeds,10,1,NA,NA,12,IN
Henry,Bird,20,Student,Durham,10,1,NA,NA,1,IN
Jamie,Finn,20,Part-time waiter,Surrey,10,1,NA,NA,13,IN
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,1,NA,NA,11,IN
Phil,Thorne,56,HGV driver,Rainham,10,1,NA,NA,8,IN
Priya,O'Shea,34,Marketing consultant,Leicester,10,1,NA,NA,7,IN
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,1,NA,NA,2,IN
Steph,Blackwell,28,Shop assistant,Chester,10,1,NA,NA,3,IN
Dan,Chambers,32,Support worker,Rotherham,10,1,NA,NA,9,OUT
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,1,NA,NA,6,STAR BAKER
Amelia,LeBruin,24,Fashion designer,Halifax,10,2,NA,NA,9,IN
David,Atherton,36,International health adviser,Whitby,10,2,NA,NA,2,IN
Helena,Garcia,40,Online project manager,Leeds,10,2,NA,NA,12,IN
Henry,Bird,20,Student,Durham,10,2,NA,NA,6,IN
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,2,NA,NA,4,IN
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,2,NA,NA,8,IN
Phil,Thorne,56,HGV driver,Rainham,10,2,NA,NA,3,IN
Priya,O'Shea,34,Marketing consultant,Leicester,10,2,NA,NA,7,IN
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,2,NA,NA,5,IN
Steph,Blackwell,28,Shop assistant,Chester,10,2,NA,NA,10,IN
Jamie,Finn,20,Part-time waiter,Surrey,10,2,NA,NA,11,OUT
Alice,Fevronia,28,Geography teacher,Essex,10,2,NA,NA,1,STAR BAKER
Dan,Chambers,32,Support worker,Rotherham,10,2,NA,NA,NA,NA
Alice,Fevronia,28,Geography teacher,Essex,10,3,NA,NA,7,IN
David,Atherton,36,International health adviser,Whitby,10,3,NA,NA,2,IN
Helena,Garcia,40,Online project manager,Leeds,10,3,NA,NA,8,IN
Henry,Bird,20,Student,Durham,10,3,NA,NA,1,IN
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,3,NA,NA,5,IN
Phil,Thorne,56,HGV driver,Rainham,10,3,NA,NA,10,IN
Priya,O'Shea,34,Marketing consultant,Leicester,10,3,NA,NA,4,IN
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,3,NA,NA,9,IN
Steph,Blackwell,28,Shop assistant,Chester,10,3,NA,NA,3,IN
Amelia,LeBruin,24,Fashion designer,Halifax,10,3,NA,NA,11,OUT
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,3,NA,NA,6,STAR BAKER
Dan,Chambers,32,Support worker,Rotherham,10,3,NA,NA,NA,NA
Jamie,Finn,20,Part-time waiter,Surrey,10,3,NA,NA,NA,NA
Alice,Fevronia,28,Geography teacher,Essex,10,4,NA,NA,8,IN
David,Atherton,36,International health adviser,Whitby,10,4,NA,NA,2,IN
Helena,Garcia,40,Online project manager,Leeds,10,4,NA,NA,9,IN
Henry,Bird,20,Student,Durham,10,4,NA,NA,3,IN
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,4,NA,NA,7,IN
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,4,NA,NA,5,IN
Priya,O'Shea,34,Marketing consultant,Leicester,10,4,NA,NA,10,IN
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,4,NA,NA,4,IN
Phil,Thorne,56,HGV driver,Rainham,10,4,NA,NA,6,OUT
Steph,Blackwell,28,Shop assistant,Chester,10,4,NA,NA,1,STAR BAKER
Amelia,LeBruin,24,Fashion designer,Halifax,10,4,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,4,NA,NA,NA,NA
Jamie,Finn,20,Part-time waiter,Surrey,10,4,NA,NA,NA,NA
Alice,Fevronia,28,Geography teacher,Essex,10,5,NA,NA,6,IN
David,Atherton,36,International health adviser,Whitby,10,5,NA,NA,9,IN
Henry,Bird,20,Student,Durham,10,5,NA,NA,3,IN
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,5,NA,NA,8,IN
Priya,O'Shea,34,Marketing consultant,Leicester,10,5,NA,NA,2,IN
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,5,NA,NA,5,IN
Helena,Garcia,40,Online project manager,Leeds,10,5,NA,NA,1,OUT
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,5,NA,NA,7,OUT
Steph,Blackwell,28,Shop assistant,Chester,10,5,NA,NA,4,STAR BAKER
Amelia,LeBruin,24,Fashion designer,Halifax,10,5,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,5,NA,NA,NA,NA
Jamie,Finn,20,Part-time waiter,Surrey,10,5,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,5,NA,NA,NA,NA
Alice,Fevronia,28,Geography teacher,Essex,10,6,NA,NA,1,IN
David,Atherton,36,International health adviser,Whitby,10,6,NA,NA,2,IN
Henry,Bird,20,Student,Durham,10,6,NA,NA,4,IN
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,6,NA,NA,6,IN
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,6,NA,NA,5,IN
Priya,O'Shea,34,Marketing consultant,Leicester,10,6,NA,NA,7,OUT
Steph,Blackwell,28,Shop assistant,Chester,10,6,NA,NA,3,STAR BAKER
Amelia,LeBruin,24,Fashion designer,Halifax,10,6,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,6,NA,NA,NA,NA
Helena,Garcia,40,Online project manager,Leeds,10,6,NA,NA,NA,NA
Jamie,Finn,20,Part-time waiter,Surrey,10,6,NA,NA,NA,NA
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,6,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,6,NA,NA,NA,NA
Alice,Fevronia,28,Geography teacher,Essex,10,7,NA,NA,6,IN
David,Atherton,36,International health adviser,Whitby,10,7,NA,NA,2,IN
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,7,NA,NA,1,IN
Steph,Blackwell,28,Shop assistant,Chester,10,7,NA,NA,4,IN
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,7,NA,NA,5,OUT
Henry,Bird,20,Student,Durham,10,7,NA,NA,3,STAR BAKER
Amelia,LeBruin,24,Fashion designer,Halifax,10,7,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,7,NA,NA,NA,NA
Helena,Garcia,40,Online project manager,Leeds,10,7,NA,NA,NA,NA
Jamie,Finn,20,Part-time waiter,Surrey,10,7,NA,NA,NA,NA
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,7,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,7,NA,NA,NA,NA
Priya,O'Shea,34,Marketing consultant,Leicester,10,7,NA,NA,NA,NA
Alice,Fevronia,28,Geography teacher,Essex,10,8,NA,NA,3,IN
David,Atherton,36,International health adviser,Whitby,10,8,NA,NA,1,IN
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,8,NA,NA,2,IN
Henry,Bird,20,Student,Durham,10,8,NA,NA,5,OUT
Steph,Blackwell,28,Shop assistant,Chester,10,8,NA,NA,4,STAR BAKER
Amelia,LeBruin,24,Fashion designer,Halifax,10,8,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,8,NA,NA,NA,NA
Helena,Garcia,40,Online project manager,Leeds,10,8,NA,NA,NA,NA
Jamie,Finn,20,Part-time waiter,Surrey,10,8,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,8,NA,NA,NA,NA
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,8,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,8,NA,NA,NA,NA
Priya,O'Shea,34,Marketing consultant,Leicester,10,8,NA,NA,NA,NA
David,Atherton,36,International health adviser,Whitby,10,9,NA,NA,2,IN
Steph,Blackwell,28,Shop assistant,Chester,10,9,NA,NA,3,IN
Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,10,9,NA,NA,1,OUT
Alice,Fevronia,28,Geography teacher,Essex,10,9,NA,NA,4,STAR BAKER
Amelia,LeBruin,24,Fashion designer,Halifax,10,9,NA,NA,NA,NA
Dan,Chambers,32,Support worker,Rotherham,10,9,NA,NA,NA,NA
Helena,Garcia,40,Online project manager,Leeds,10,9,NA,NA,NA,NA
Henry,Bird,20,Student,Durham,10,9,NA,NA,NA,NA
Jamie,Finn,20,Part-time waiter,Surrey,10,9,NA,NA,NA,NA
Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,10,9,NA,NA,NA,NA
Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",10,9,NA,NA,NA,NA
Phil,Thorne,56,HGV driver,Rainham,10,9,NA,NA,NA,NA
Priya,O'Shea,34,Marketing consultant,Leicester,10,9,NA,NA,NA,NA
Alice,Fevronia,28,Geography teacher,Essex,10,10,NA,NA,2,Runner-up
Steph,Blackwell,28,Shop assistant,Chester,10,10,NA,NA,3,Runner-up
David,Atherton,36,International health adviser,Whitby,10,10,NA,NA,1,WINNER
